index,Name,NACE code,Last avail. year,Year,Book Value per share USD,Capital expenditure per share USD,Cash flow USD,Current ratio (x),Dividends per share USD,Market capitalisation (mil) m USD,Market price - high USD,Market price - low USD,Market price - open USD,Market price - year end USD,Nominal value,Number of employees,Operating profit per share USD,Operating revenue (Turnover) USD,Operating revenue (Turnover) per share USD,P/L before tax USD,Net income,Profit margin (%),ROCE using P/L before tax (%),ROE using P/L before tax (%),Shareholders funds USD,Shares outstanding,Solvency ratio (Asset based) (%),Total assets USD,Working Capital per share USD,Market price - year(+1) end USD,Dividend yield,Return,logR,Ticker,Yf Market price,Yf Market price - year(+1),Yf Return,Yf logR
81624,SENSYS GATSO GROUP AB,8424,2018,2015,0.07,,8095.0,1.3,0.0,281.06,0.72,0.1,0.1,0.43,0.05,150.0,0.01,47131.0,0.07,5601.0,4905.0,11.89,9.27,12.21,45890.0,657155.0,49.95,91882.0,0.03,0.16,0.0,-0.627906976744186,-0.9886113934537812,SENS.ST,1.0399999618530271,2.3688900470733643,1.2777789749651314,0.823200834402453
81626,CELLAVISION AB,2651,2018,2015,0.91,,7155.0,4.8,0.18,197.1,8.71,4.62,4.66,8.26,0.1,73.0,0.33,28361.0,1.19,7766.0,6258.0,27.38,35.73,35.72,21742.0,23852.0,83.26,26115.0,0.26,9.49,0.021791767554479417,0.14891041162227608,0.13881402508894988,CEVI.ST,53.75,51.25,-0.04651162790697674,-0.04762804898925459
81627,INVISIO COMMUNICATIONS AB,6190,2018,2015,0.3,,7426.0,2.64,0.0,379.07,9.95,1.48,1.52,8.97,1.0,36.0,0.13,27225.0,0.64,5552.0,6763.0,20.39,44.82,44.36,12515.0,42240.0,74.9,16709.0,0.11,7.03,0.0,-0.2162764771460424,-0.2436989702481312,IVSO.ST,13.899999618530273,59.5,3.2805756570438867,1.4540874998588036
81628,STARBREEZE AB,6201,2018,2015,0.28,,2888.0,1.18,0.0,310.89,2.77,0.76,0.91,1.86,0.02,109.0,0.02,11766.0,0.07,2511.0,2583.0,21.34,9.5,10.64,47195.0,167141.0,70.12,67308.0,-0.01,2.13,0.0,0.14516129032258052,0.13554549199622376,STAR-B.ST,10.21030044555664,15.020999908447266,0.4711614010324411,0.38605215758019
81630,ODD MOLLY INTERNATIONAL AB,1419,2018,2015,1.92,,1711.0,2.84,0.18,26.3,6.04,4.15,4.69,4.57,,83.0,0.28,40904.0,7.11,1512.0,1162.0,3.7,13.11,13.71,11032.0,5752.0,64.75,17038.0,1.59,5.06,0.03938730853391685,0.10722100656455127,0.1018532783932608,ODD.ST,40.35260009765625,34.894699096679695,-0.13525524966837432,-0.1453209019186133
81631,ARISE AB,3511,2018,2015,3.87,,11136.0,1.77,0.0,76.43,2.46,1.81,2.03,2.29,,31.0,-0.21,60184.0,1.8,-19429.0,-18482.0,-32.28,-2.26,-15.03,129253.0,33428.0,39.43,327813.0,0.16,2.21,0.0,-0.03493449781659392,-0.03555930203648692,ARISE.ST,18.5,17.0,-0.08108108108108109,-0.08455738802806301
81634,CTT SYSTEMS AB,3030,2018,2015,1.07,,3720.0,1.81,0.08,74.22,6.52,3.48,3.48,5.92,1.0,87.0,0.28,23967.0,1.91,3294.0,2559.0,13.74,19.22,24.62,13376.0,12529.0,47.38,28232.0,0.83,11.64,0.013513513513513514,0.9662162162162165,0.6761109934073775,CTT.ST,39.5,48.5,0.2278481012658228,0.2052631260363614
81636,ICTA AB,6190,2018,2015,5.41,,1515.0,0.9,0.11,17.51,5.15,3.61,3.61,4.09,1.5,560.0,0.68,56952.0,13.3,2661.0,925.0,4.67,9.93,11.48,23184.0,4283.0,41.82,55435.0,3.04,3.02,0.026894865525672367,-0.2616136919315403,-0.30328813866793203,ICTA.ST,36.400001525878906,35.900001525878906,-0.013736263160443015,-0.013831478564621226
81638,ENLABS AB,9329,2018,2015,0.39,,-1040.0,3.24,0.0,17.18,0.5,0.26,0.26,0.45,0.2,209.0,-0.03,13198.0,0.35,-1222.0,-1547.0,-9.26,-7.76,-8.2,14911.0,38170.0,81.45,18307.0,,0.54,0.0,0.20000000000000004,0.1823215567939546,NLAB.ST,2.359999895095825,4.0900001525878915,0.7330509891492265,0.5498834327756662
81640,SCANDBOOK HOLDING AB,1812,2018,2015,3.94,,3282.0,1.31,0.0,8.01,1.85,1.42,1.47,1.74,,155.0,0.29,28370.0,6.17,1120.0,1187.0,3.95,5.49,6.19,18103.0,4597.0,59.79,30276.0,0.99,1.27,0.0,-0.27011494252873564,-0.3148682127559377,SBOK.ST,11.75,15.600000381469727,0.3276596069335937,0.2834176981185107
81642,MICRO SYSTEMATION AB,6201,2018,2015,0.63,,5539.0,2.26,0.28,148.71,10.51,2.35,2.37,8.74,0.2,111.0,0.39,26883.0,1.58,6949.0,5347.0,25.85,64.58,64.57,10763.0,17020.0,56.87,18926.0,0.3,7.42,0.032036613272311214,-0.1510297482837529,-0.1637311324881551,MSAB-B.ST,43.0,57.0,0.32558139534883723,0.2818511521409877
81643,NOVOTEK AB,6209,2018,2015,1.04,,1983.0,1.71,0.0,18.44,2.29,1.78,1.94,2.03,,120.0,0.24,25909.0,2.85,2315.0,1736.0,8.94,24.8,24.48,9457.0,9100.0,54.41,17381.0,0.39,2.05,0.0,0.009852216748768485,0.009804000096620837,NTEK-B.ST,18.399999618530273,17.600000381469727,-0.04347822030685716,-0.044451720164367166
81644,AMASTEN FASTIGHETS AB,6831,2018,2015,0.59,,7919.0,0.44,0.0,52.54,0.37,0.29,0.3,0.35,,18.0,0.04,20035.0,0.14,10129.0,7861.0,50.56,5.68,11.49,88134.0,148316.0,36.64,240546.0,,0.37,0.0,0.0571428571428572,0.055569851154810786,AMAST.ST,2.8499999046325684,2.9600000381469727,0.03859653936675689,0.0378703204051578
81646,THE LEXINGTON COMPANY AB (PUBL),4759,2018,2015,1.83,,861.0,2.0,0.0,22.71,8.29,4.55,6.75,4.64,,121.0,-0.06,32977.0,6.74,316.0,69.0,0.96,3.62,3.53,8950.0,4890.0,60.1,14893.0,1.17,3.58,0.0,-0.2284482758620689,-0.25935156582555496,LEX.ST,52.52130126953125,32.391998291015625,-0.3832597915884669,-0.4833073998048457
81647,RAILCARE GROUP AB,4910,2018,2015,,,4814.0,1.38,0.0,,,,,,,106.0,,34972.0,,2957.0,2305.0,8.46,9.73,21.75,13594.0,,28.76,47263.0,,,,,,RAIL.ST,25.10000038146973,21.299999237060547,-0.15139446560385555,-0.16416082443910998
81648,ADDVISE GROUP AB,3109,2018,2015,0.07,,-830.0,1.07,0.0,2.58,1.36,0.31,0.71,0.34,1.0,60.0,0.0,18427.0,2.42,-1278.0,-1315.0,-6.93,1.63,-253.65,504.0,7619.0,3.3,15277.0,0.07,0.25,0.0,-0.26470588235294124,-0.3074846997479607,ADDV-A.ST,6.75,1.6499999761581419,-0.7555555590876827,-1.4087672314215602
81649,CLEMONDO GROUP AB (PUBL),2041,2018,2015,-0.04,,-1004.0,0.9,0.0,3.31,0.65,0.23,0.55,0.27,,61.0,-0.14,15141.0,1.22,-1922.0,-1603.0,-12.7,-107.43,,-441.0,12435.0,-6.21,7098.0,0.25,0.3,0.0,0.111111111111111,0.10536051565782614,CLEM.ST,3.4221200942993164,1.6164400577545166,-0.5276495233328493,-0.7500340336277747
81650,EMPIR GROUP AB,4651,2018,2015,,,-276.0,1.23,0.0,,,,,,,41.0,,8664.0,,-375.0,-309.0,-4.33,-6.84,-11.4,3293.0,,30.17,10915.0,,,,,,EMPIR-B.ST,27.920900344848636,32.035499572753906,0.1473662803522169,0.1374691248787945
81651,AGROMINO A/S,111,2018,2015,0.45,,-54896.0,1.16,0.0,7.83,14.1,5.21,10.07,6.04,1.44,1151.0,1.41,48892.0,37.72,-57618.0,-57291.0,,-114.99,,589.0,1296.0,0.8,73866.0,6.84,1.77,0.0,-0.7069536423841059,-1.2274244653609858,AGRO.ST,107.0,34.400001525878906,-0.6785046586366458,-1.1347722257256094
81653,AVENSIA AB,8552,2018,2015,0.07,,3888.0,1.47,0.01,25.9,0.89,0.37,0.58,0.73,1.0,62.0,0.1,15413.0,0.43,3620.0,3863.0,23.49,152.33,152.21,2378.0,35544.0,51.77,4594.0,,0.98,0.013698630136986302,0.3424657534246575,0.2945080375221808,AVEN.ST,6.199999809265138,5.699999809265138,-0.08064516377126521,-0.08408311990911055
81657,FIREFLY AB,2630,2018,2015,0.81,,2380.0,2.06,0.14,33.06,5.6,1.77,1.88,5.51,0.5,51.0,0.47,21244.0,3.54,2439.0,1884.0,11.48,35.9,50.47,4833.0,6001.0,40.34,11979.0,1.07,3.67,0.02540834845735028,-0.3339382940108893,-0.40637296109834414,FIRE.ST,18.700000762939453,40.70000076293945,1.1764705402365887,0.777704546534549
81660,PRECIO FISHBONE AB,6209,2018,2015,1.23,,1740.0,2.07,0.0,18.22,2.12,1.18,1.1,1.99,,202.0,0.19,22599.0,2.47,1859.0,1483.0,8.23,15.88,16.51,11258.0,9156.0,69.71,16151.0,,1.71,0.0,-0.14070351758793972,-0.1516412682218326,PRCO-B.ST,12.899999618530273,18.0,0.3953488784715779,0.3331444760998354
81665,SAXLUND GROUP AB,2829,2018,2015,,,-4795.0,0.99,0.0,,,,,,,53.0,,17004.0,,-4837.0,-5402.0,-28.45,-202.0,-619.79,780.0,,16.38,4765.0,,1.65,,,,SAXG.ST,76.61699676513672,10.071499824523926,-0.8685474470449774,-2.0291093065036088
81672,TAGMASTER AB,2611,2018,2015,0.03,,535.0,2.22,0.0,29.23,0.19,0.07,0.08,0.17,0.1,40.0,0.0,9362.0,0.06,152.0,374.0,1.63,2.94,2.92,5220.0,167824.0,71.25,7326.0,0.02,0.12,0.0,-0.2941176470588236,-0.3483066942682159,TAGM-B.ST,0.6207900047302246,1.1250900030136108,0.8123519941377578,0.5946254460057094
81675,C-RAD AB,2660,2018,2015,0.22,,-664.0,1.64,0.0,37.78,2.42,1.62,1.99,1.79,,41.0,-0.07,8113.0,0.38,-1324.0,-1324.0,-16.32,-19.55,-27.9,4745.0,21121.0,54.4,8723.0,0.08,1.33,0.0,-0.25698324022346364,-0.29703667761900115,CRAD-B.ST,15.010000228881836,8.443129539489746,-0.4374997061463261,-0.5753636224971669
81678,XVIVO PERFUSION AB,3250,2018,2015,1.12,,1978.0,6.14,0.0,135.58,7.23,3.97,4.0,6.93,,18.0,0.04,14308.0,0.73,876.0,608.0,6.13,4.01,4.0,21902.0,19563.0,90.55,24190.0,0.27,9.71,0.0,0.4011544011544013,0.3372964691014217,XVIVO.ST,42.70000076293945,50.25,0.17681496726373375,0.16281160883717194
81679,PRECOMP SOLUTIONS AB,2599,2018,2015,0.27,,487.0,1.08,0.0,4.69,0.65,0.37,0.5,0.47,,121.0,0.03,18000.0,1.82,82.0,94.0,0.46,6.69,3.09,2653.0,9895.0,22.47,11808.0,0.51,0.43,0.0,-0.08510638297872336,-0.08894748601649617,PCOM-B.ST,3.9500000476837163,3.9800000190734863,0.007594929374080014,0.007566233103822359
81682,SKANE-MOLLAN AB,1061,2018,2015,15.61,,2038.0,6.62,1.3,50.82,48.81,35.78,35.78,46.2,10.0,25.0,1.0,19405.0,17.64,1162.0,891.0,5.99,,6.76,17175.0,1100.0,85.21,20157.0,4.27,43.97,0.028138528138528136,-0.04826839826839835,-0.0494722148949745,SKMO.ST,387.0,408.0,0.05426356589147287,0.05284248137437998
81684,IMAGE SYSTEMS AB,2630,2018,2015,0.21,,794.0,1.47,0.0,20.2,0.59,0.2,0.53,0.53,0.1,66.0,0.01,14868.0,0.39,36.0,36.0,0.24,4.77,0.45,7949.0,38232.0,66.04,12037.0,0.09,0.25,0.0,-0.5283018867924528,-0.7514160886839212,IS.ST,2.480600118637085,3.220000028610229,0.2980729962955064,0.2608808542164269
81685,BACTIGUARD HOLDING AB (PUBL),8690,2018,2015,1.69,,752.0,0.45,0.0,38.88,2.29,0.96,2.06,1.33,,65.0,-0.05,16404.0,0.56,-3669.0,-3140.0,-22.37,-2.62,-7.42,49455.0,29302.0,61.73,80116.0,0.24,1.86,0.0,0.3984962406015037,0.3353975454914475,BACTI-B.ST,14.100000381469727,13.850000381469727,-0.0177304959742094,-0.017889564262425082
81687,AURIANT MINING AB,2441,2018,2015,-2.35,,-11886.0,0.29,0.0,3.9,0.53,0.16,0.33,0.22,,517.0,0.06,34464.0,1.94,-20069.0,-21159.0,-58.23,-45.83,,-41917.0,17802.0,-66.9,62659.0,0.26,0.8,0.0,2.6363636363636367,1.2909841813155658,AUR.ST,2.3499999046325684,3.4500000476837163,0.46808518625158707,0.38395895729045415
81689,KAKEL MAX AB,2561,2018,2015,,,-1107.0,1.28,0.0,,,,,,,7.0,,5020.0,,-1118.0,-1118.0,-22.28,-131.65,-159.44,701.0,,26.37,2659.0,,,,,,KAKEL.ST,152.7550048828125,62.0,-0.5941213183321626,-0.901700977660108
81690,MULTIQ INTERNATIONAL AB,2620,2018,2015,0.08,,48.0,1.64,0.0,12.05,0.15,0.09,0.11,0.1,1.0,73.0,0.0,13499.0,0.11,-518.0,-335.0,-3.84,-3.54,-5.56,9320.0,123265.0,63.23,14740.0,0.04,0.08,0.0,-0.20000000000000004,-0.22314355131420985,MULQ.ST,0.9700000286102296,0.6850000023841858,-0.29381445136076784,-0.3478772592497216
81692,MANGOLD AB,6492,2018,2015,16.27,,,,0.0,25.27,61.61,20.85,23.69,56.99,,72.0,,14072.0,31.74,1695.0,1269.0,12.05,,23.49,7215.0,443.0,16.45,43870.0,,36.08,0.0,-0.36690647482014394,-0.4571371186524854,MANG.ST,203.5,400.0,0.9656019656019657,0.6757985422253323
81693,STILLE AB,3250,2018,2015,1.2,,1539.0,2.81,0.08,9.61,2.31,1.14,1.42,1.99,5.0,41.0,0.25,10359.0,2.15,1243.0,1243.0,12.0,20.9,21.43,5803.0,4828.0,70.48,8235.0,0.57,5.05,0.04020100502512563,1.5376884422110548,0.9312536045508674,STIL.ST,12.399999618530273,24.899999618530273,1.0080645471408152,0.6971713463032894
81695,JLT MOBILE COMPUTERS AB,2620,2018,2015,0.15,,347.0,2.3,0.01,5.75,0.36,0.2,0.22,0.21,,23.0,0.01,9609.0,0.36,309.0,224.0,3.21,,7.82,3947.0,26952.0,62.66,6300.0,0.08,0.54,0.047619047619047616,1.5714285714285718,0.9444616088408516,JLT.ST,2.3299999237060547,2.6700000762939453,0.14592281704760432,0.13621026615324305
81696,STOCKWIK FORVALTNING AB,4651,2018,2015,1.14,,-320.0,0.55,0.0,4.41,4.74,0.83,1.07,2.07,1.3,52.0,-0.22,10745.0,5.06,-723.0,-628.0,-6.73,-10.32,-29.76,2429.0,2125.0,29.08,8352.0,0.18,2.32,0.0,0.1207729468599034,0.11401857840094096,STWK.ST,18.0,39.5,1.1944444444444444,0.7859289140109116
81697,ARCOMA AB,2670,2018,2015,0.57,,146.0,1.5,0.0,9.68,1.66,0.6,1.45,0.94,,49.0,-0.07,14654.0,1.42,-891.0,-764.0,-6.08,-11.74,-15.06,5914.0,10346.0,59.25,9982.0,0.27,0.42,0.0,-0.5531914893617021,-0.8056251639866355,ARCOMA.ST,10.79170036315918,6.449999809265138,-0.4023184862244495,-0.5146972525652378
81698,BIMOBJECT AB,6201,2018,2015,0.07,,-3939.0,5.31,0.0,43.31,0.62,0.22,0.43,0.49,,48.0,-0.05,2164.0,0.02,-4028.0,-4053.0,,-65.39,-65.85,6116.0,87557.0,81.48,7507.0,,0.88,0.0,0.7959183673469388,0.5855165163675798,BIM.ST,3.2999999523162837,3.6875,0.11742425857058812,0.11102626764311453
81699,ANOTO GROUP AB,2620,2018,2015,1.0,,-11416.0,1.11,0.0,101.47,5.83,1.19,1.53,3.2,0.02,156.0,-0.4,22882.0,0.72,-13027.0,-12325.0,-56.93,-36.14,-41.0,31774.0,31723.0,59.69,53233.0,0.1,0.5,0.0,-0.84375,-1.8562979903656265,ANOT.ST,15.449999809265135,15.300000190734865,-0.009708713293337444,-0.009756150133735163
81703,CLAVISTER HOLDING AB,4643,2018,2015,0.6,,-3608.0,1.55,0.0,146.05,8.47,1.62,1.87,8.17,,131.0,-0.35,7608.0,0.43,-6594.0,-5060.0,-86.66,-47.75,-61.21,10773.0,17867.0,62.84,17142.0,0.02,5.09,0.0,-0.3769889840881273,-0.4731910783094802,CLAV.ST,17.899999618530273,56.5,2.1564246482726506,1.149439946616844
81706,NEXAM CHEMICAL HOLDING AB (PUBL),2229,2018,2015,0.12,,-2512.0,9.69,0.0,76.68,2.05,0.83,1.36,1.48,,18.0,-0.05,1335.0,0.03,-2809.0,-2809.0,,-43.52,-46.63,6024.0,51780.0,86.66,6951.0,0.02,1.35,0.0,-0.08783783783783777,-0.09193749532568547,NEXAM.ST,7.300000190734862,14.449999809265135,0.9794519769472102,0.682820027076388
81707,MODERN EKONOMI SVERIGE HOLDING AB,7490,2018,2015,0.1,,1208.0,1.31,0.0,8.52,0.63,0.38,0.43,0.58,,126.0,0.07,11889.0,0.8,1045.0,1016.0,8.79,33.35,68.4,1528.0,14774.0,19.39,7881.0,0.21,0.57,0.0,-0.017241379310344845,-0.017391742711869218,ME.ST,4.0,4.400000095367432,0.10000002384185792,0.0953102014787409
81708,ENDOMINES AB,2441,2018,2015,7.62,,-9016.0,1.56,0.0,6.37,9.48,1.9,6.87,2.43,,72.0,-6.85,13446.0,5.13,-19271.0,-19544.0,,-62.94,-96.48,19975.0,2622.0,61.6,32428.0,0.08,2.02,0.0,-0.16872427983539098,-0.1847937459393437,ENDO.ST,10.136500358581543,14.35159969329834,0.4158337873631407,0.3477186065760532
81709,CONFIDENCE INTERNATIONAL AB,8020,2018,2015,7.36,,-377.0,0.98,0.0,6.6,15.4,3.67,7.7,11.14,,28.0,-0.73,12845.0,21.67,-562.0,-562.0,-4.38,-8.83,-12.89,4361.0,593.0,44.34,9835.0,2.83,12.14,0.0,0.08976660682226212,0.08596355113221414,CONF.ST,11.523500442504885,19.563100814819336,0.6976699842575674,0.5292567134387517
81710,DELARKA HOLDING AB (PUBL),6820,2018,2015,11.63,,,1.38,0.95,66.34,13.59,12.97,13.21,13.27,,,1.83,11689.0,2.34,6329.0,4971.0,54.15,6.99,10.88,58153.0,5000.0,38.05,152838.0,,13.13,0.07159005275056518,-0.010550113036925305,-0.01060616002941125,DELARK.ST,112.0,117.25,0.046875,0.0458095360312942
81717,DOME ENERGY AB,610,2018,2015,-30.76,,991.0,0.13,0.0,16.34,85.0,19.73,55.68,23.75,,20.0,-81.33,7543.0,10.96,-49949.0,-50298.0,,,,-21167.0,688.0,-46.51,45510.0,,3.64,0.0,-0.8467368421052631,-1.8755988488320008,DOME.ST,7.055270195007324,2.5639901161193848,-0.6365851278192297,-1.0122101987590428
81719,SINTERCAST AB,2651,2018,2015,1.56,,3080.0,5.37,0.41,74.13,12.14,9.0,9.0,10.46,1.0,20.0,0.36,8577.0,1.21,2891.0,2985.0,33.7,26.29,26.18,11043.0,7090.0,87.6,12605.0,0.27,9.02,0.03919694072657743,-0.13766730401529648,-0.14811412456224468,SINT.ST,83.0,88.5,0.06626506024096386,0.06416194421728585
81720,SIVERS IMA HOLDING AB,4652,2018,2015,,,-1265.0,5.06,0.0,,,,,,,24.0,,3047.0,,-1789.0,-1784.0,-58.72,-17.43,-18.3,9776.0,,82.19,11895.0,,,,,,SIVE.ST,6.51632022857666,3.4605300426483154,-0.4689441400573728,-0.6328880656410146
81721,MACKMYRA SVENSK WHISKY AB,1101,2018,2015,1.63,,-1663.0,6.16,0.0,9.3,1.43,1.0,1.11,1.06,,35.0,-0.23,7355.0,0.84,-3078.0,-3093.0,-41.85,-5.74,-21.53,14298.0,8770.0,36.4,39284.0,2.67,1.02,0.0,-0.03773584905660381,-0.03846628082779605,MACK-B.ST,8.662790298461914,8.483249664306639,-0.02072549697839864,-0.020943284516312468
81723,POWERCELL SWEDEN AB (PUBL),2711,2018,2015,0.04,,-6994.0,2.33,0.0,165.36,8.59,0.51,0.79,4.63,,24.0,-0.21,1671.0,0.05,-7723.0,-7723.0,,-123.03,-578.63,1335.0,35698.0,14.84,8993.0,0.0,3.09,0.0,-0.3326133909287257,-0.4043857771884887,PCELL.ST,6.300000190734862,28.0,3.4444443098872264,1.4916548465023425
81724,SALTANGEN PROPERTY INVEST AB (PUBL),6820,2018,2015,13.95,,,1.1,1.16,54.36,13.39,11.58,12.08,11.82,,,1.91,9539.0,2.07,20547.0,16014.0,,15.76,32.02,64165.0,4600.0,41.37,155104.0,,12.33,0.09813874788494076,0.0431472081218274,0.04224230519830075,SAPIAB.ST,110.0,99.75,-0.0931818181818182,-0.09781331002244337
81726,ORGANOCLICK AB,7211,2018,2015,0.1,,-2116.0,3.19,0.0,55.27,1.08,0.56,0.88,0.82,,21.0,-0.04,3701.0,0.06,-2571.0,-2365.0,-69.48,-32.46,-36.49,7047.0,67128.0,72.26,9752.0,0.02,0.76,0.0,-0.07317073170731701,-0.07598590697792199,ORGC.ST,6.75,6.5,-0.037037037037037035,-0.037740327982847086
81728,VERISEC AB,6201,2018,2015,0.91,,-674.0,1.72,0.0,37.15,10.07,4.05,5.11,9.21,,55.0,-0.28,7434.0,1.84,-1148.0,-964.0,-15.44,-30.92,-31.31,3667.0,4033.0,49.72,7376.0,0.18,9.24,0.0,0.0032573289902279434,0.003252035386377316,VERI.ST,43.0,77.0,0.7906976744186046,0.5826053061601215
81731,PRECISE BIOMETRICS AB,2651,2018,2015,0.03,,47.0,5.39,0.0,249.55,1.12,0.11,0.12,0.72,0.4,22.0,0.0,6700.0,0.02,-1122.0,-1122.0,-16.74,-11.31,-11.4,9840.0,345306.0,83.94,11723.0,0.0,0.35,0.0,-0.513888888888889,-0.7213180575266417,PREC.ST,1.2300000190734863,4.300000190734863,2.4959350602074744,1.2516008821652351
81734,KALLEBACK PROPERTY INVEST AB (PUBL),6831,2018,2015,11.45,,,1.68,0.0,49.3,14.93,12.44,13.86,13.51,,,1.99,7913.0,2.17,3251.0,2536.0,41.08,5.33,7.78,41784.0,3650.0,38.45,108686.0,,13.79,0.0,0.020725388601036215,0.02051353983310281,KAPIAB.ST,118.0,118.5,0.00423728813559322,0.004228336109521105
81740,GENERIC SWEDEN AB,6311,2018,2015,0.39,,849.0,1.97,0.0,7.24,0.62,0.38,0.43,0.59,,61.0,0.07,12981.0,1.06,794.0,633.0,6.12,14.09,16.45,4824.0,12292.0,55.02,8769.0,0.1,0.58,0.0,-0.0169491525423729,-0.017094433359300186,GENI.ST,3.990000009536743,4.300000190734863,0.07769428081633327,0.07482383376452739
81741,ADVENICA AB (PUBL),6201,2018,2015,0.9,,233.0,2.63,0.0,30.53,3.76,0.75,0.85,2.42,,52.0,-0.03,6409.0,0.51,-430.0,-347.0,-6.71,-3.77,-3.77,11397.0,12630.0,82.64,13791.0,0.29,2.22,0.0,-0.08264462809917343,-0.08626034428440689,ADVE.ST,6.801179885864258,18.81180000305176,1.765961247716837,1.0173882229191284
81744,DIADROM HOLDING AB,6201,2018,2015,0.24,,493.0,2.35,0.08,9.49,1.86,1.18,1.71,1.3,,47.0,0.08,5443.0,0.75,616.0,472.0,11.31,,35.43,1738.0,7282.0,57.94,2999.0,,1.38,0.061538461538461535,0.061538461538461424,0.05971923470162206,DIAH.ST,13.191900253295898,10.338299751281738,-0.21631459056106864,-0.24374760263020906
81746,TRENTION AB,2932,2018,2015,13.39,,-14013.0,8.5,0.0,32.09,12.2,5.71,7.4,8.47,,11.0,-0.99,705.0,0.19,-9796.0,-14058.0,,12.46,-19.32,50720.0,3788.0,90.94,55772.0,,5.74,0.0,-0.3223140495867769,-0.3890712983324881,TRENT.ST,66.0,66.5,0.007575757575757577,0.007547205635382905
81749,SANIONA AB,4645,2018,2015,,,-2628.0,11.71,0.0,,,,,,,19.0,,1615.0,,-3466.0,-2719.0,,-55.18,-55.26,6272.0,,91.8,6833.0,,4.52,,,,SANION.ST,15.853400230407715,22.899999618530273,0.4444850496240412,0.3677528910083851
81751,ENZYMATICA AB,3250,2018,2015,0.1,,-4757.0,1.36,0.0,12.75,1.09,0.47,0.53,0.51,,16.0,-0.19,3308.0,0.13,-4837.0,-4837.0,,-183.69,-185.72,2605.0,24961.0,50.14,5195.0,0.07,0.3,0.0,-0.411764705882353,-0.5306282510621704,ENZY.ST,8.827659606933594,3.0455400943756104,-0.6550002798042278,-1.0642116729778537
81752,TOURN INTERNATIONAL AB (PUBL),5829,2018,2015,,,37.0,5.18,0.0,,,,,,,8.0,,829.0,,-4.0,2.0,-0.51,,-0.62,694.0,,80.5,862.0,,,,,,TOURN.ST,3.5,9.699999809265137,1.7714285169328965,1.019362897350581
81754,ORTIVUS AB,4690,2018,2015,0.07,,964.0,0.49,0.0,8.24,0.84,0.36,0.65,0.42,,31.0,-0.03,8622.0,0.44,-840.0,-840.0,-9.74,-27.65,-57.35,1465.0,19655.0,18.72,7825.0,0.03,0.31,0.0,-0.26190476190476186,-0.30368241379822203,ORTI-B.ST,4.376930236816406,2.30935001373291,-0.4723813520471751,-0.6393815138947053
81755,TORSLANDA PROPERTY INVESTMENT AB (PUBL),9499,2018,2015,11.35,,2780.0,0.89,0.0,31.18,14.57,12.44,12.91,14.57,,,1.47,5871.0,2.74,2108.0,1578.0,35.9,5.23,8.68,24294.0,2140.0,37.84,64203.0,,13.1,0.0,-0.1008922443376802,-0.10635239000000762,TORSAB.ST,111.0,137.25,0.2364864864864865,0.2122738790773058
81756,EASTNINE AB (PUBL),6619,2018,2015,9.69,,,3.79,0.0,171.22,7.35,4.92,4.98,6.01,,4.0,0.27,0.0,0.0,7913.0,7913.0,,,2.87,276052.0,28477.0,99.8,276607.0,,7.37,0.0,0.2262895174708819,0.20399295765412906,EAST.ST,56.5,83.0,0.4690265486725664,0.3845999696442027
81761,KENTIMA HOLDING AB,8020,2019,2015,0.07,,-969.0,1.25,0.0,1.57,0.48,0.11,0.42,0.14,,24.0,-0.1,3592.0,0.31,-1221.0,-1221.0,-33.99,-76.71,-146.3,835.0,11413.0,32.09,2601.0,0.07,0.13,0.0,-0.07142857142857148,-0.07410797215372196,KENH.ST,1.5099999904632568,1.2899999618530271,-0.14569538410575428,-0.15746745570882525
81762,SCANDIDOS AB (PUBL),2660,2019,2015,,,-1734.0,0.76,0.0,,1.78,0.48,1.77,0.54,,28.0,,4001.0,,-1760.0,-1766.0,-43.97,-57.17,-57.74,3048.0,,58.36,5223.0,,0.7,0.0,0.2962962962962961,0.25951119548508444,SDOS.ST,5.299650192260742,5.525969982147217,0.04270466571868781,0.04181797745448559
81763,HELIOSPECTRA AB (PUBL),2740,2018,2015,0.18,,-3562.0,3.14,0.0,23.17,2.06,0.98,1.76,1.24,,23.0,-0.21,1887.0,0.1,-4023.0,-4023.0,,-81.35,-120.63,3335.0,18622.0,56.36,5917.0,0.06,0.85,0.0,-0.3145161290322581,-0.3776303091147205,HELIO.ST,8.869230270385742,9.111120223999023,0.02727293645999349,0.026907656553525613
81764,BIOINVENT INTERNATIONAL AB,2110,2018,2015,0.02,,-10548.0,2.13,0.0,73.15,0.5,0.22,0.31,0.45,0.5,40.0,-0.07,2014.0,0.01,-11258.0,-10743.0,,-322.63,-322.63,3489.0,162919.0,54.1,6450.0,0.0,0.34,0.0,-0.2444444444444444,-0.2803019651541584,BINV.ST,1.943600058555603,2.114269971847534,0.08781123078313006,0.084167632262244
81768,WESC AB,1419,2018,2015,-0.04,,-4584.0,0.61,0.0,9.19,0.39,0.17,0.28,0.2,,48.0,-0.09,15628.0,0.34,-5175.0,-5175.0,-33.12,,,-1854.0,46437.0,-13.3,13938.0,0.06,0.07,0.0,-0.65,-1.0498221244986776,WESC.ST,1.3304300308227541,1.1357300281524658,-0.14634366194356216,-0.15822658063781195
